Name,healthy_fem,infected_fem,healthy_male,infected_male
Pmin_ref_seq_366,0.0,0.1310905,1.250907,3.0406585
Pmin_ref_seq_367,0.0,6.367524,4.392523499999999,3.850126
Pmin_ref_seq_368,0.0,3.804454,0.0,9.2211945
Pmin_ref_seq_369,2.025474,2.7931975,1.6846095,1.525371
Pmin_ref_seq_370,0.0,3.290031,10.76608,5.639352
Pmin_ref_seq_371,0.0,0.0298505,0.0,9.611874
Pmin_ref_seq_372,1.78781,2.5919835,1.6612135,1.389913
Pmin_ref_seq_373,0.0,15.2974615,5.338945,11.615728
Pmin_ref_seq_374,0.0,45.938643,0.0,78.035274
Pmin_ref_seq_375,0.973614,5.5415985,9.0191985,2.370808
Pmin_ref_seq_376,0.0,18.6842285,0.0,25.165774
Pmin_ref_seq_377,0.0,0.7051080000000001,0.0,2.998117
Pmin_ref_seq_378,9.001953,6.7464225,9.5778205,6.78076
Pmin_ref_seq_379,0.0,644.446863,0.0,1323.6199235
Pmin_ref_seq_380,0.0,13.9467775,17.3442535,10.286046
Pmin_ref_seq_381,0.0,4.345479,0.0,7.338156
Pmin_ref_seq_382,0.0,3.1670965,3.48533,0.0
Pmin_ref_seq_383,0.267257,1.3550285,0.5150955,10.623204
Pmin_ref_seq_384,0.0,3.2987185,0.0,4.3032005
Pmin_ref_seq_385,0.0,12.684146,0.0,62.896064
Pmin_ref_seq_386,52.412848,28.7276675,47.4098855,26.4021565
Pmin_ref_seq_387,0.0,1.396293,0.0,3.835221
Pmin_ref_seq_388,0.0,839.725385,0.0,1064.085271
Pmin_ref_seq_389,0.0,1.2373005,0.0,2.021842
Pmin_ref_seq_390,96.961673,66.6859935,108.7434905,127.848906
Pmin_ref_seq_391,0.68307,3.51568,0.1209345,0.0
Pmin_ref_seq_392,21.019595,10.3514645,10.1227155,7.083477
Pmin_ref_seq_393,0.0,16.621544,0.0,45.7107905
Pmin_ref_seq_394,0.0,4.447896,0.0,2.592892
Pmin_ref_seq_395,183.155165,148.7241425,142.276089,132.2521965
Pmin_ref_seq_396,0.0,11.3494275,0.0,4.1462375
Pmin_ref_seq_397,0.0,110.394889,0.0,225.7153725
Pmin_ref_seq_398,7.420272,10.7465515,16.074486,1.683942
Pmin_ref_seq_399,0.0,2.1944335,0.0,1.3569485
Pmin_ref_seq_400,4.779884,5.260636,5.855878000000001,4.7623035
Pmin_ref_seq_401,0.0,4.315079,0.0,8.2751735
Pmin_ref_seq_402,4.986805,1.0796625,11.241489,0.0
Pmin_ref_seq_403,2.165094,4.7154975,4.715224,3.864897
Pmin_ref_seq_404,0.0,8.343139,0.0,0.002482
Pmin_ref_seq_405,1.689346,4.61325,2.8706005,3.6847945
Pmin_ref_seq_406,0.431511,4.7680455,3.0329785,3.7924965
Pmin_ref_seq_407,1.870067,2.298753,1.015278,3.0283195
Pmin_ref_seq_408,0.0,1.3469600000000002,0.0,2.8882215
Pmin_ref_seq_409,0.0,44.130694000000005,0.0,112.825516
